age_group,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,US_native,over_50k
35-44,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,T,F
35-44,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,T,F
35-44,Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,T
55-64,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,45,T,T
55-64,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,T
35-44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
55-64,Local-gov,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,45,T,F
25-34,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
35-44,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
25-34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,T,F
25-34,Private,HS-grad,Separated,Craft-repair,Own-child,Black,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,44,T,F
15-24,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,T,F
45-54,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
35-44,Private,Assoc-voc,Divorced,Other-service,Unmarried,Black,Female,40,T,F
35-44,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,F
25-34,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,40,F,F
15-24,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,70,T,F
45-54,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
45-54,Private,Masters,Married-civ-spouse,Protective-serv,Husband,White,Male,78,T,T
25-34,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,F,F
25-34,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,T,T
25-34,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,40,T,F
45-54,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
45-54,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
25-34,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,T,T
45-54,State-gov,HS-grad,Married-civ-spouse,Other-service,Wife,Black,Female,40,T,F
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,T,T
45-54,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,50,T,F
25-34,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
45-54,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
45-54,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,72,F,T
15-24,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,50,T,F
35-44,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,F,T
25-34,Private,Some-college,Married-spouse-absent,Sales,Unmarried,Amer-Indian-Eskimo,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,T,T
35-44,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,40,T,F
45-54,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Other,Male,40,T,T
55-64,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,40,F,F
35-44,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,T,F
15-24,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,44,T,F
15-24,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,T,F
35-44,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,52,T,F
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
15-24,Private,9th,Never-married,Machine-op-inspct,Unmarried,White,Female,40,T,F
35-44,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,60,T,T
45-54,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,T,F
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
45-54,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,T,F
55-64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,40,T,T
25-34,Private,HS-grad,Never-married,Priv-house-serv,Unmarried,White,Female,40,F,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
45-54,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,50,T,F
25-34,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,40,F,T
25-34,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Female,40,T,T
25-34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,T,F
55-64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,T,F
45-54,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,T,F
45-54,Private,11th,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,T,F
25-34,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,60,T,F
35-44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,F
35-44,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,T,T
25-34,Private,Some-college,Never-married,Transport-moving,Not-in-family,Black,Male,40,T,F
25-34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,T,T
15-24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,40,T,T
25-34,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Female,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,F
35-44,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,48,T,F
35-44,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,F,F
35-44,Private,9th,Divorced,Other-service,Not-in-family,White,Female,40,T,F
25-34,Private,Some-college,Never-married,Sales,Other-relative,White,Male,50,T,F
25-34,Private,Some-college,Divorced,Exec-managerial,Own-child,White,Female,40,T,F
65+,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
35-44,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
45-54,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,40,T,F
55-64,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,F,T
45-54,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,T,F
25-34,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,T,F
35-44,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,40,T,F
45-54,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,40,T,F
25-34,Private,11th,Never-married,Transport-moving,Unmarried,White,Male,40,T,F
15-24,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,T,F
55-64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,55,F,T
55-64,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,F,T
35-44,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,60,T,F
55-64,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
65+,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
35-44,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,F,T
35-44,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
35-44,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,T,F
45-54,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,T
35-44,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
45-54,Private,Bachelors,Divorced,Exec-managerial,Other-relative,White,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,F
55-64,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
25-34,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,F
25-34,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,50,T,F
15-24,Private,12th,Never-married,Adm-clerical,Not-in-family,White,Female,40,T,F
15-24,Private,Some-college,Never-married,Sales,Own-child,White,Male,40,T,F
25-34,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
45-54,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
35-44,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
55-64,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,40,T,F
45-54,Private,HS-grad,Divorced,Craft-repair,Other-relative,White,Male,48,T,T
55-64,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
45-54,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,T,T
15-24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,T,F
55-64,Private,Doctorate,Married-civ-spouse,Tech-support,Husband,White,Male,40,F,T
15-24,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,40,T,F
45-54,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,F
25-34,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,T,T
35-44,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,T,T
45-54,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,F,F
25-34,Self-emp-not-inc,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,60,T,F
35-44,Self-emp-not-inc,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,60,T,F
15-24,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,40,T,F
35-44,Federal-gov,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,56,T,F
55-64,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,F,T
45-54,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,T,T
45-54,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,T,F
45-54,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,T
15-24,Private,Some-college,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,50,F,F
45-54,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,T,F
15-24,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
45-54,Private,5th-6th,Married-civ-spouse,Other-service,Husband,Black,Male,40,F,F
35-44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,44,T,F
45-54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,F
35-44,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,40,T,F
35-44,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60,F,T
35-44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
45-54,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,T,T
35-44,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,F,F
35-44,Federal-gov,HS-grad,Never-married,Craft-repair,Own-child,Black,Female,40,T,F
15-24,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,40,T,F
65+,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,T,F
45-54,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,T,T
45-54,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Male,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,T
25-34,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,F,F
55-64,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,T
35-44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,F
25-34,Local-gov,HS-grad,Divorced,Protective-serv,Not-in-family,White,Female,40,T,F
35-44,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,41,T,F
35-44,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
15-24,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,60,T,F
25-34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,65,T,F
25-34,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,45,F,F
35-44,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,70,T,F
55-64,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,40,T,T
25-34,Private,10th,Never-married,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,40,T,F
45-54,Private,Masters,Divorced,Adm-clerical,Unmarried,White,Female,40,T,F
35-44,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,55,T,F
15-24,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,40,T,F
45-54,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,44,T,F
45-54,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,52,T,T
45-54,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,T,T
25-34,Self-emp-inc,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,50,F,F
25-34,State-gov,Some-college,Never-married,Transport-moving,Not-in-family,Black,Male,40,T,F
35-44,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,55,T,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,52,T,T
25-34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,55,T,F
45-54,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
55-64,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
55-64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
35-44,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,Black,Female,40,T,F
25-34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,T,F
65+,Self-emp-not-inc,Masters,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,40,T,F
35-44,Private,HS-grad,Never-married,Sales,Unmarried,White,Male,42,T,F
25-34,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
35-44,Private,HS-grad,Separated,Handlers-cleaners,Not-in-family,Black,Male,40,T,F
25-34,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,40,F,F
25-34,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,T,T
55-64,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,F
45-54,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,40,T,F
35-44,Private,Assoc-acdm,Separated,Exec-managerial,Not-in-family,White,Male,40,T,F
35-44,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
45-54,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,T,T
25-34,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,48,F,T
55-64,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
25-34,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,F
35-44,Self-emp-not-inc,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,65,T,F
25-34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,F
35-44,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,50,T,F
25-34,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,60,T,T
35-44,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,50,T,T
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
25-34,Private,Bachelors,Never-married,Sales,Other-relative,White,Female,45,T,F
25-34,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
15-24,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,T,T
35-44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,F
45-54,Private,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,T,F
45-54,Private,Masters,Divorced,Sales,Not-in-family,White,Female,45,T,F
35-44,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,46,T,T
45-54,Private,10th,Widowed,Machine-op-inspct,Unmarried,Black,Female,40,T,F
55-64,Local-gov,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,40,T,F
35-44,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,T,F
35-44,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
45-54,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,49,T,T
15-24,Private,Assoc-acdm,Never-married,Sales,Own-child,White,Female,65,T,F
55-64,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,F,F
25-34,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,40,T,F
45-54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
45-54,Local-gov,HS-grad,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,T,F
55-64,Private,HS-grad,Widowed,Exec-managerial,Unmarried,White,Female,45,T,F
15-24,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,50,T,F
55-64,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,T,T
45-54,Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,White,Female,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,T,F
35-44,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,T
55-64,Local-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,T,F
55-64,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,T,T
25-34,Private,10th,Separated,Other-service,Unmarried,White,Female,42,T,F
25-34,Private,12th,Never-married,Sales,Not-in-family,White,Male,50,T,F
45-54,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,T,T
45-54,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,40,T,F
15-24,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,T,F
25-34,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,40,T,F
35-44,Private,10th,Married-civ-spouse,Craft-repair,Own-child,Other,Male,43,T,T
35-44,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,T
25-34,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,T,T
25-34,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,T,T
15-24,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,T,F
15-24,State-gov,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,40,T,F
35-44,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,T,F
45-54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,F,T
15-24,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,T,F
35-44,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,T,F
35-44,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,T,F
65+,Self-emp-not-inc,11th,Widowed,Sales,Not-in-family,White,Male,40,T,F
35-44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
25-34,Private,Some-college,Never-married,Machine-op-inspct,Unmarried,White,Female,40,T,F
25-34,Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,50,T,F
45-54,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,40,T,F
35-44,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,F,T
25-34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,T,T
25-34,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,T,F
55-64,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,T,F
45-54,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
45-54,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,T,T
35-44,Private,Some-college,Separated,Craft-repair,Unmarried,White,Female,55,T,F
45-54,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,40,T,F
25-34,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,T,F
45-54,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,77,T,F
35-44,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,F,T
45-54,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,T,F
35-44,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Male,40,T,F
35-44,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,T,T
35-44,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,T,T
45-54,Private,HS-grad,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,65,T,F
15-24,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,T,F
25-34,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,T,F
25-34,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,50,T,F
55-64,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,T,T
45-54,Private,Some-college,Separated,Other-service,Unmarried,White,Female,40,T,F
25-34,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,80,T,F
15-24,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,40,T,F
25-34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,T,T
45-54,Federal-gov,10th,Never-married,Craft-repair,Not-in-family,Black,Male,40,T,F
25-34,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,50,T,F
35-44,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,T,T
15-24,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,40,T,F
25-34,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,T,F
